                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7836,                 2.9348,                 1.0884,                0.03036,                0.46443,                0.23248,                0.09243,                 1.8881,                 3.2502,                 1.0506,             0.00040012,             0.00040012,             0.00040012
                      2,                  1.607,                 1.4452,                 1.0305,                0.94461,                0.30455,                0.30979,                0.17356,                 1.4628,                 1.9048,                0.97279,             0.00080445,             0.00080445,             0.00080445
                      3,                  1.568,                  1.352,                 1.0292,                0.94515,                0.26927,                0.32344,                 0.1764,                 1.5354,                 1.2887,                 1.0307,              0.0011985,              0.0011985,              0.0011985
