epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3503.56,1.19478,0.63067,0.9352,0.96947,0.83986,0.88221,0.5276,1.21202,0.6085,0.94396,0.000703961,0.000703961,0.000703961
43,3555.96,1.19506,0.64563,0.94032,0.95884,0.84258,0.90108,0.52239,1.29473,0.60637,0.96004,0.000686277,0.000686277,0.000686277
44,3621.73,1.15315,0.62506,0.92281,0.95716,0.84411,0.90311,0.53014,1.22846,0.58161,0.94635,0.000668593,0.000668593,0.000668593
45,3688.32,1.17156,0.62835,0.94897,0.92443,0.87007,0.90149,0.54051,1.23173,0.58172,0.94291,0.000650909,0.000650909,0.000650909
46,3754.79,1.16726,0.6257,0.94695,0.92433,0.86486,0.90095,0.54941,1.20141,0.5784,0.94023,0.000633226,0.000633226,0.000633226
47,3820.89,1.13517,0.59787,0.92864,0.9338,0.86322,0.90389,0.53802,1.27286,0.58581,0.94969,0.000615542,0.000615542,0.000615542
48,3886.98,1.15555,0.60844,0.92324,0.96969,0.84986,0.90238,0.53738,1.26077,0.5985,0.95021,0.000597858,0.000597858,0.000597858
49,3952.71,1.165,0.62339,0.9359,0.9631,0.8467,0.90086,0.55137,1.21782,0.58937,0.94118,0.000580174,0.000580174,0.000580174
50,4019.15,1.1479,0.5948,0.91551,0.96073,0.84179,0.90985,0.53978,1.27137,0.59051,0.9539,0.00056249,0.00056249,0.00056249
51,4086.46,1.165,0.61225,0.94022,0.93958,0.86762,0.89629,0.54788,1.2078,0.57949,0.94477,0.000544806,0.000544806,0.000544806
52,4151.96,1.14621,0.59813,0.91594,0.93969,0.86242,0.90848,0.55187,1.20439,0.57364,0.93973,0.000527122,0.000527122,0.000527122
53,4217.05,1.12389,0.59275,0.9307,0.95534,0.85314,0.90866,0.56062,1.20526,0.57131,0.93748,0.000509438,0.000509438,0.000509438
54,4283.5,1.10713,0.59302,0.91899,0.95478,0.85277,0.90069,0.55043,1.24821,0.58033,0.94719,0.000491755,0.000491755,0.000491755
55,4348.83,1.0979,0.58368,0.91662,0.92341,0.85612,0.89658,0.55131,1.22278,0.57164,0.94381,0.000474071,0.000474071,0.000474071
56,4415.02,1.10992,0.59064,0.91812,0.9355,0.86691,0.89351,0.54336,1.22325,0.56738,0.9418,0.000456387,0.000456387,0.000456387
57,4480.61,1.12232,0.58604,0.91514,0.95452,0.86969,0.89824,0.54572,1.27069,0.57274,0.94754,0.000438703,0.000438703,0.000438703
58,4546.28,1.11882,0.58672,0.92198,0.94876,0.8691,0.89844,0.54873,1.23739,0.56813,0.94368,0.000421019,0.000421019,0.000421019
59,4612.14,1.11941,0.57918,0.91168,0.9398,0.86486,0.90258,0.55105,1.1858,0.55412,0.93684,0.000403335,0.000403335,0.000403335
60,4677.54,1.11166,0.57433,0.92178,0.93473,0.87114,0.92644,0.54069,1.26313,0.56865,0.95498,0.000385651,0.000385651,0.000385651
61,4743.24,1.15948,0.59687,0.92584,0.94644,0.86969,0.90714,0.55072,1.25062,0.56783,0.9507,0.000367967,0.000367967,0.000367967
62,4808.7,1.08332,0.57964,0.92321,0.93842,0.86923,0.90763,0.54104,1.29113,0.57022,0.95653,0.000350284,0.000350284,0.000350284
63,4874.46,1.11645,0.58452,0.92261,0.94344,0.86841,0.91698,0.5377,1.32573,0.57964,0.967,0.0003326,0.0003326,0.0003326
64,4940.95,1.10932,0.57633,0.91788,0.96495,0.86876,0.91816,0.56874,1.23257,0.56631,0.94865,0.000314916,0.000314916,0.000314916
65,5006.96,1.10761,0.56602,0.91822,0.96136,0.86876,0.90833,0.5589,1.23429,0.56079,0.94668,0.000297232,0.000297232,0.000297232
66,5073.31,1.09673,0.56587,0.90724,0.96427,0.86876,0.90711,0.55763,1.23559,0.55784,0.94538,0.000279548,0.000279548,0.000279548
67,5139.65,1.08905,0.56278,0.90779,0.971,0.86783,0.91464,0.56285,1.22208,0.55264,0.94241,0.000261864,0.000261864,0.000261864
68,5207.16,1.05526,0.54431,0.91045,0.97055,0.87037,0.91474,0.5575,1.22994,0.54992,0.94323,0.00024418,0.00024418,0.00024418
69,5273.69,1.07135,0.56338,0.91613,0.96514,0.87245,0.91377,0.55768,1.25301,0.55522,0.94955,0.000226497,0.000226497,0.000226497
70,5340.22,1.08601,0.56389,0.90546,0.96359,0.87192,0.91327,0.55373,1.24569,0.55018,0.94735,0.000208813,0.000208813,0.000208813
71,5405.79,1.06962,0.58631,0.92299,0.97039,0.85815,0.90868,0.55034,1.26171,0.56267,0.948,0.000191129,0.000191129,0.000191129
72,5471.29,1.07367,0.57971,0.91129,0.95201,0.85748,0.9008,0.54485,1.24799,0.56476,0.94679,0.000173445,0.000173445,0.000173445
73,5536.25,1.06485,0.57155,0.91672,0.94854,0.85822,0.90173,0.55276,1.23253,0.56014,0.94531,0.000155761,0.000155761,0.000155761
74,5601.58,1.05799,0.56633,0.91418,0.93101,0.86927,0.90467,0.54687,1.26608,0.57256,0.95503,0.000138077,0.000138077,0.000138077
75,5667.62,1.04282,0.56761,0.91273,0.94875,0.85544,0.90587,0.55094,1.2508,0.57546,0.95141,0.000120393,0.000120393,0.000120393
76,5725.19,1.03811,0.55413,0.91375,0.93764,0.86628,0.90634,0.55471,1.23837,0.56619,0.94631,0.000102709,0.000102709,0.000102709
77,5785.99,1.04101,0.55178,0.90581,0.94072,0.86446,0.90905,0.56365,1.22103,0.55773,0.94293,8.50255e-05,8.50255e-05,8.50255e-05
78,5852.49,1.02784,0.54975,0.90359,0.94677,0.86738,0.91047,0.56151,1.21786,0.54887,0.94327,6.73416e-05,6.73416e-05,6.73416e-05
79,5917.94,1.04398,0.55826,0.8998,0.94732,0.8672,0.91109,0.56182,1.21833,0.54666,0.94371,4.96578e-05,4.96578e-05,4.96578e-05
80,5983.27,1.05443,0.56335,0.90383,0.94893,0.86726,0.91107,0.56121,1.22981,0.54906,0.9465,3.19739e-05,3.19739e-05,3.19739e-05
